group_type,group,requested,approved,denied
Academic/Professional,Active Minds,47,47,0
Academic/Professional,Classics Club,57,45,12
Academic/Professional,Public Health Journal Club,84,34,50
Academic/Professional,Biology Club,170,20,150
Academic/Professional,Sports Business Club,315,55,260
Academic/Professional,Medical Health and Outreach Club,570,470,100
Academic/Professional,Kinesiology and Health Science Majors Club,597,197,400
Academic/Professional,The Collective: Sociology Journal at W&M,847,747,100
Academic/Professional,Society of Physics Students,942,607,335
Academic/Professional,International Relations Club,1540,530,1010
Academic/Professional,Students for Advancement of Artificial Intelligence,1547,1547,0
Academic/Professional,Quiz Bowl,1947,1035,912
Academic/Professional,Art History Club,2125,475,1650
Academic/Professional,Moot Court,2922,1213,1709
Academic/Professional,Mock Trial,3245,1781,1464
Academic/Professional,Association for Computing Machinery,3547,2297,1250
Academic/Professional,Debate Society,7027,2712,4315
Acapella,No Ceiling,20,20,0
Acapella,The Accidentals,520,20,500
Acapella,FLOW,667,67,600
Acapella,A Capella Council,2431,1361,1070
Advocacy & Inclusion,HEART,124,79,45
Advocacy & Inclusion,Virginia21,197,97,100
Advocacy & Inclusion,Students for Animals,234,114,120
Advocacy & Inclusion,American Bosnian Collaboration Project,247,47,200
Advocacy & Inclusion,Amnesty International,515,435,80
Advocacy & Inclusion,Students Helping Honduras,987,352,635
Advocacy & Inclusion,IMRAA,1047,211,836
Advocacy & Inclusion,Student Veterans of W&M,1687,269,1418
Advocacy & Inclusion,One for the World at W&M,2247,47,2200
Advocacy & Inclusion,Students Demand Action,3404,1037,2367
Advocacy & Inclusion,Student Environmental Action Coalition,4407,1277,3130
Advocacy & Inclusion,UndocuTribe,5200,1175,4025
General Club,Knitting Club,70,70,0
General Club,Wizards & Muggles,118,118,0
General Club,Blacksmithing Guild,145,20,125
General Club,Tabletop Roleplaying Games,170,171,0
General Club,Campus Cursive at William & Mary,205,206,0
General Club,Pershing Rifles/ Queen's Guard,227,227,0
General Club,Game Design Club,320,20,300
General Club,College Company of William & Mary,331,322,9
General Club,Tribe Scribes,344,352,0
General Club,Electronic Dance Music Club,427,427,0
General Club,Smash Club,514,0,514
General Club,Salsa Club,675,566,109
General Club,Science Fiction & Fantasy Club,800,800,0
General Club,Chess Club,890,541,349
General Club,Swing Dance Club,1217,217,1000
General Club,The Griffin Fechtschule,1250,910,340
General Club,Metal Club,1270,620,650
General Club,Front Porch Society,2102,732,1370
Cultural,ESSENCE Women of Color,140,80,60
Cultural,Chinese Student Organization,162,108,54
Cultural,Middle Eastern Student Association,184,184,0
Cultural,Haasya,482,142,340
Cultural,European Horizons,654,84,570
Cultural,Korean Language Club,692,497,195
Cultural,KASA,697,342,355
Cultural,Japanese Cultural Assocation,776,526,250
Cultural,Black Student Organization of William & Mary,801,381,420
Cultural,Taiwanese American Student Association,1195,825,370
Cultural,African Cultural Society,1967,1157,810
Cultural,Latin American Student Union,2504,1614,890
Cultural,Muslim Student Association,3536,2428,1108
Cultural,Afsana,4072,1403,2669
Cultural,Filipino Amerrican Student Association,5142,1692,3450
Cultural,Asian American Student Initiative,11397,272,11125
Cultural,South Asian Student Association,13112,6097,7015
Cultural,Griffin Bhangra,13765,820,12945
Greek,Alpha Phi Omega,250,250,0
Greek,Alpha Kappa Psi,1252,77,1175
Greek,Nu Kappa Epsilon,3665,833,2832
Health,VOX,397,347,50
Health,HOPE,1134,276,858
Health,Someone You Know,1887,1838,49
Improv,Trippin' on Brix,400,114,286
